1,0,C1065,389,C3799,N10451,6,10,5323,0
1,0,C1423,N1136,C1707,N1,6,5,847,0
1,0,C1423,N1142,C1707,N1,6,5,847,0
1,0,C14909,N8191,C5720,2049,6,1,52,0
1,0,C14909,N8192,C5720,2049,6,1,52,0
1,0,C14909,N8193,C5720,2049,6,1,52,0
1,0,C1707,N1,C1423,N1136,6,4,414,0
1,0,C1707,N1,C1423,N1142,6,4,413,0
1,0,C1707,N1,C925,N10487,6,4,414,0
1,0,C1707,N1,C925,N10491,6,4,413,0
1,0,C3587,N44,C528,N17,1,2,120,0
1,0,C3799,N10451,C1065,389,6,12,3007,0
1,0,C4879,N2369,C585,139,6,1,46,0
1,0,C528,N17,C3587,N17,1,2,120,0
1,0,C5720,2049,C14909,N8191,6,1,52,0
1,0,C5720,2049,C14909,N8192,6,1,52,0
1,0,C5720,2049,C14909,N8193,6,1,52,0
1,0,C8177,N7052,C7632,N77,6,1,48,0
1,0,C925,N10487,C1707,N1,6,4,810,0
1,0,C925,N10491,C1707,N1,6,4,810,0
1,10,C3587,N10510,C528,445,6,17,4369,0
1,10,C528,445,C3587,N10510,6,15,2418,0
1,15,C1799,N5523,C1707,N1,6,6,1222,0
1,6,C1707,N1,C1799,N5523,6,4,2755,0
1,60,C4254,N24,C5720,445,6,20,2440,0
